DATE,MASTHPI_NBD19910101
1991-01-01,100.00000
1992-01-01,98.97903
1993-01-01,99.23580
1994-01-01,99.07105
1995-01-01,101.10686
1996-01-01,104.76570
1997-01-01,109.38417
1998-01-01,117.00860
1999-01-01,129.20329
2000-01-01,147.86911
2001-01-01,165.74969
2002-01-01,185.92724
2003-01-01,203.75174
2004-01-01,226.71089
2005-01-01,248.00144
2006-01-01,249.84532
2007-01-01,241.73802
2008-01-01,228.85274
2009-01-01,218.49667
2010-01-01,214.36809
2011-01-01,210.47613
2012-01-01,209.80308
2013-01-01,214.63626
2014-01-01,223.83903
2015-01-01,233.78408
2016-01-01,245.23211
2017-01-01,258.59150
2018-01-01,272.21643
2019-01-01,284.09212
2020-01-01,298.14209
2021-01-01,335.64199
